Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,% GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GNS,GNS WR,IWD
Placid Rottentail,G,C,380832,7.79,37965,11.52,53376,23.5%,51.8%,9258,52.4%,11407,48.4%,20665,50.2%,32573,52.8%,-2.6pp
Polukranos Reborn,G,R,16937,1.85,8337,1.86,43638,85.3%,55.9%,7415,59.0%,10658,58.4%,18073,58.7%,24468,53.3%,5.4pp
Portent Tracker,G,C,288195,4.7,49866,6.38,239052,80.4%,53.6%,42507,56.6%,54138,51.7%,96645,53.8%,142033,53.4%,0.5pp
Ravenous Sailback,G,U,185743,5.46,23259,8.0,66982,48.3%,52.9%,10320,51.5%,15863,54.5%,26183,53.3%,40568,52.5%,0.8pp
Sandstalker Moloch,G,U,165921,4.66,29700,6.3,132398,73.6%,55.1%,22559,56.1%,31099,55.7%,53658,55.8%,78344,54.4%,1.4pp
Seed of Hope,G,C,396200,8.61,54545,11.75,78337,23.8%,54.7%,13657,54.7%,18334,54.6%,31991,54.6%,46372,54.7%,-0.0pp
Serpent-Blade Assailant,G,C,339104,5.81,40813,8.54,164937,67.6%,53.7%,28308,53.8%,37648,54.1%,65956,53.9%,98486,53.5%,0.5pp
Storm the Seedcore,G,U,174044,5.16,25214,7.21,88470,58.1%,54.3%,13451,54.6%,20320,56.1%,33771,55.5%,54743,53.6%,1.9pp
Streetwise Negotiator,G,U,134449,3.72,35876,4.63,188204,85.7%,55.8%,33973,58.8%,42999,55.7%,76972,57.1%,110642,54.8%,2.3pp
Tandem Takedown,G,U,119869,3.34,30582,4.19,160347,86.4%,55.2%,25429,55.3%,38897,58.7%,64326,57.3%,96186,53.7%,3.6pp
Tangled Skyline,G,U,156416,4.47,35075,5.67,158078,74.1%,55.1%,25158,54.1%,38972,58.0%,64130,56.4%,93562,54.2%,2.3pp
Timberland Ancient,G,C,338628,5.7,45829,8.27,183679,67.1%,53.5%,31054,51.6%,44217,54.3%,75271,53.2%,108366,53.6%,-0.4pp
Tribute to the World Tree,G,R,24156,2.63,6584,2.84,27648,72.1%,51.2%,4556,53.0%,6503,49.6%,11059,51.0%,16569,51.4%,-0.4pp
Vengeant Earth,G,C,402142,9.35,41261,13.32,7082,2.9%,48.8%,1110,46.0%,1589,46.6%,2699,46.4%,4386,50.4%,-4.0pp
Vorinclex,G,M,6229,1.35,4465,1.32,24014,86.6%,57.4%,4127,62.4%,6228,64.0%,10355,63.4%,13033,52.1%,11.3pp
War Historian,G,C,361650,6.48,47513,9.23,153220,53.8%,53.3%,26394,52.5%,35449,52.7%,61843,52.6%,91135,53.7%,-1.1pp
Wary Thespian,G,C,333108,5.63,57087,7.66,269239,77.9%,54.8%,48220,56.5%,61594,54.3%,109814,55.3%,158713,54.5%,0.8pp
Wildwood Escort,G,C,375503,6.96,48651,9.94,126274,43.4%,53.2%,19194,50.5%,30019,54.4%,49213,52.9%,76645,53.2%,-0.4pp
Wrenn and Realmbreaker,G,M,6585,1.44,4102,1.42,20295,82.8%,54.4%,3488,54.8%,5079,58.9%,8567,57.3%,11743,52.3%,5.0pp
Baral and Kari Zev,UR,R,28559,3.19,9182,3.41,33439,60.8%,54.3%,5660,57.8%,8754,56.0%,14414,56.7%,19149,52.4%,4.3pp
Borborygmos and Fblthp,URG,M,11050,2.54,5027,2.53,22277,72.1%,56.1%,3698,61.1%,6266,63.6%,9964,62.6%,12644,51.1%,11.6pp
Botanical Brawler,WG,U,145427,4.47,24844,5.7,97898,65.3%,55.0%,17225,59.6%,20711,53.7%,37936,56.4%,59498,54.0%,2.4pp
Djeru and Hazoret,WR,R,33631,3.63,6398,4.49,17812,46.9%,51.9%,2747,49.4%,4021,52.9%,6768,51.5%,10915,52.0%,-0.5pp
Drana and Linvala,WB,R,25254,2.83,6152,3.14,21036,58.1%,51.3%,3409,51.4%,5226,54.0%,8635,53.0%,12425,49.9%,3.1pp
Elvish Vatkeeper,BG,U,143260,4.13,32308,5.24,140291,71.4%,55.3%,23968,58.1%,34985,58.7%,58953,58.4%,80794,52.9%,5.5pp
Errant and Giada,WU,R,31298,3.39,8622,3.78,32470,62.4%,55.8%,5655,56.9%,7542,55.9%,13197,56.3%,19232,55.3%,0.9pp
Ghalta and Mavren,WG,R,19652,2.25,7757,2.19,33069,71.4%,54.0%,5073,55.7%,7858,59.7%,12931,58.1%,19969,51.0%,7.2pp
"Glissa, Herald of Predation",BG,R,13425,1.47,10207,1.44,57607,90.6%,57.1%,9662,62.2%,15250,64.5%,24912,63.6%,32769,52.1%,11.5pp
Halo Forager,UB,U,131687,3.86,44787,4.49,217463,78.6%,56.8%,35888,55.3%,59642,61.5%,95530,59.2%,121841,55.0%,4.2pp
Hidetsugu and Kairi,UB,R,18237,2.06,11340,2.02,58831,83.2%,57.7%,9697,60.9%,16680,64.0%,26377,62.8%,32749,53.5%,9.3pp
Inga and Esika,UG,R,24262,2.73,8576,2.86,37357,73.3%,53.6%,6338,55.9%,9764,56.3%,16102,56.1%,21182,51.4%,4.7pp
Invasion of Alara,WUBRG,R,42607,4.3,9268,5.24,22848,41.8%,50.0%,3684,49.4%,5892,54.5%,9576,52.5%,12270,46.7%,5.8pp
Invasion of Amonkhet,UB,U,103553,3.63,40533,3.95,206294,81.9%,57.4%,35211,61.4%,56921,61.7%,92132,61.6%,112741,53.9%,7.7pp
Invasion of Azgol,BR,U,148914,5.14,25083,6.85,88386,58.4%,54.6%,15245,57.9%,21885,57.1%,37130,57.4%,51032,52.5%,4.9pp
Invasion of Ergamon,RG,U,170846,6.33,20400,9.16,45323,37.5%,51.3%,7793,51.0%,10402,49.3%,18195,50.0%,25881,51.8%,-1.8pp
Invasion of Kaladesh,UR,U,187135,7.27,26466,10.03,41527,26.0%,53.8%,7081,55.0%,10289,53.0%,17370,53.8%,24131,53.8%,0.1pp
Invasion of Kylem,WR,U,181308,7.04,18358,10.51,19640,17.9%,50.1%,3048,46.5%,4261,47.2%,7309,46.9%,12258,51.9%,-4.9pp
Invasion of Lorwyn,BG,U,135517,4.37,24944,5.9,101147,68.5%,52.5%,15606,49.0%,25198,54.4%,40804,52.3%,57653,52.1%,0.2pp
Invasion of Moag,WG,U,145974,5.14,18153,7.25,56175,52.8%,51.4%,8879,48.6%,12069,49.7%,20948,49.2%,34227,52.5%,-3.3pp
Invasion of New Capenna,WB,U,161079,5.61,19987,8.13,47745,40.5%,50.7%,7627,47.6%,11371,52.4%,18998,50.5%,28434,50.7%,-0.2pp
Invasion of New Phyrexia,WU,M,6277,1.38,5077,1.35,28468,89.9%,57.7%,4772,61.2%,7145,64.7%,11917,63.3%,16263,53.2%,10.1pp
Invasion of Pyrulea,UG,U,170910,6.06,26665,8.35,78429,49.1%,53.4%,13206,54.3%,19730,54.7%,32936,54.6%,43281,52.3%,2.3pp
Invasion of Tolvada,WB,R,18492,2.1,9055,2.05,41820,77.2%,52.9%,6761,52.7%,10760,57.9%,17521,55.9%,23805,50.4%,5.5pp
Invasion of Xerex,WU,U,157172,5.45,26718,7.34,86988,53.7%,55.6%,13697,54.7%,20154,54.7%,33851,54.7%,53004,56.1%,-1.4pp
Joyful Stormsculptor,UR,U,192736,6.11,31617,8.21,82366,43.5%,53.8%,13064,53.0%,21073,55.5%,34137,54.5%,48184,53.3%,1.2pp
Kogla and Yidaro,RG,R,22271,2.57,8621,2.48,35845,69.1%,54.4%,5801,58.4%,9172,61.0%,14973,60.0%,20961,50.3%,9.7pp
Kroxa and Kunoros,WBR,M,9764,2.26,3923,2.23,15259,67.0%,51.5%,2356,49.7%,3920,56.5%,6276,54.0%,8998,49.6%,4.4pp
Marshal of Zhalfir,WU,U,136260,4.25,36664,4.8,165005,71.6%,59.3%,29078,64.2%,36699,60.4%,65777,62.1%,98838,57.3%,4.8pp
Mirror-Shield Hoplite,WR,U,182895,6.06,25751,8.17,67805,43.7%,55.1%,11934,58.2%,14163,51.8%,26097,54.7%,41588,55.3%,-0.6pp
Mutagen Connoisseur,UG,U,207600,6.71,29929,9.42,68664,38.4%,52.3%,11400,50.9%,17643,54.2%,29043,52.9%,39385,51.6%,1.3pp
"Omnath, Locus of All",WUBRG,R,43144,4.29,8008,5.56,16552,35.2%,48.7%,2651,46.7%,4302,51.7%,6953,49.7%,9541,47.8%,2.0pp
"Quintorius, Loremaster",WR,R,23737,2.66,8605,2.74,34443,66.3%,54.2%,5514,53.0%,8440,58.2%,13954,56.1%,20506,52.8%,3.4pp
Rampaging Geoderm,RG,U,178151,5.65,24236,7.85,69402,48.0%,52.9%,11499,53.1%,16219,53.9%,27718,53.6%,41346,52.2%,1.3pp
Rankle and Torbran,BR,R,27844,3.08,7828,3.31,29143,63.3%,52.5%,4808,52.0%,7574,55.8%,12382,54.3%,16834,51.1%,3.2pp
Sculpted Perfection,WB,U,157824,4.78,24935,6.5,82201,56.3%,51.6%,13604,50.5%,19878,53.9%,33482,52.5%,48441,50.9%,1.6pp
Stormclaw Rager,BR,U,174158,5.37,31786,6.97,110093,58.3%,52.8%,18488,51.9%,27677,53.7%,46165,53.0%,64163,52.6%,0.4pp
Thalia and The Gitrog Monster,WBG,M,8685,1.95,4079,1.9,17923,74.0%,53.4%,2978,57.1%,4460,56.4%,7438,56.7%,10456,50.8%,5.9pp
Yargle and Multani,BG,R,46332,4.83,6102,7.13,8554,23.5%,50.9%,1324,49.5%,2113,52.2%,3437,51.1%,5099,50.6%,0.5pp
Zimone and Dina,UBG,M,13441,2.9,4467,3.16,16710,62.8%,53.7%,2784,55.5%,4496,58.5%,7280,57.3%,9448,50.8%,6.5pp
Zurgo and Ojutai,WUR,M,10199,2.33,4528,2.23,18032,65.8%,54.9%,2897,57.3%,4537,60.7%,7434,59.4%,10582,51.5%,7.9pp
Flywheel Racer,,C,391793,7.9,61539,10.77,118222,31.7%,53.9%,20836,55.4%,27766,53.0%,48602,54.0%,69592,53.7%,0.3pp
Halo Hopper,,C,399673,8.58,57714,11.55,85411,24.3%,55.1%,14367,55.2%,19117,52.3%,33484,53.5%,51848,56.0%,-2.5pp
Kitesail,,C,396217,8.33,45526,11.87,49641,18.1%,52.9%,8089,51.1%,10946,53.7%,19035,52.6%,30593,53.0%,-0.4pp
Phyrexian Archivist,,C,407257,9.77,46885,13.47,7885,2.8%,50.4%,1128,46.5%,1973,52.2%,3101,50.1%,4797,50.6%,-0.5pp
"Realmbreaker, the Invasion Tree",,R,36662,3.79,6555,4.88,19448,50.2%,51.3%,3463,47.6%,5089,54.1%,8552,51.5%,10944,51.3%,0.1pp
Skittering Surveyor,,C,278366,4.23,61832,5.73,285146,77.0%,53.7%,52252,53.1%,68342,55.1%,120594,54.3%,164204,53.3%,1.0pp
Sword of Once and Future,,M,5478,1.21,4738,1.2,27925,95.7%,56.2%,4733,57.7%,7026,61.4%,11759,59.9%,16262,53.5%,6.4pp
Urn of Godfire,,C,397439,8.41,50287,11.77,56854,18.9%,51.5%,9964,47.3%,13700,53.2%,23664,50.7%,33142,52.0%,-1.3pp
Bloodfell Caves,,C,219188,5.98,37247,8.4,129057,58.0%,53.0%,23882,55.0%,31101,52.6%,54983,53.6%,73225,52.6%,1.0pp
Blossoming Sands,,C,214672,5.81,31529,8.24,115660,61.6%,53.0%,21634,55.3%,25505,51.6%,47139,53.3%,66723,52.8%,0.4pp
Dismal Backwater,,C,208814,5.4,45493,7.4,208127,75.1%,55.4%,38333,57.2%,51204,56.1%,89537,56.6%,116834,54.4%,2.2pp
Jungle Hollow,,C,208259,5.42,37964,7.52,160931,70.6%,54.0%,29716,56.0%,37839,53.6%,67555,54.6%,90875,53.5%,1.2pp
Rugged Highlands,,C,222239,6.34,33518,8.86,106587,53.3%,52.9%,19666,55.3%,24571,51.8%,44237,53.4%,60518,52.4%,0.9pp
Scoured Barrens,,C,210334,5.48,34958,7.76,126827,60.8%,52.6%,23194,55.0%,30172,52.4%,53366,53.5%,72433,51.9%,1.6pp
Swiftwater Cliffs,,C,221743,6.22,40900,8.58,139287,56.4%,54.0%,25598,55.8%,33656,53.2%,59254,54.3%,78874,53.6%,0.7pp
Thornwood Falls,,C,217058,5.9,41431,8.07,163874,65.4%,54.1%,30389,56.1%,38952,53.5%,69341,54.7%,91783,53.6%,1.1pp
Tranquil Cove,,C,216592,5.81,39859,8.08,154846,64.3%,54.8%,28540,57.2%,35508,53.1%,64048,54.9%,89819,54.6%,0.3pp
Wind-Scarred Crag,,C,221823,6.24,32665,8.85,100811,51.8%,52.6%,18324,54.6%,23062,50.8%,41386,52.5%,58692,52.7%,-0.2pp
"Anafenza, Kin-Tree Spirit",W,R,14368,2.32,4636,2.62,24106,85.7%,55.2%,4251,58.8%,5175,51.7%,9426,54.9%,14618,55.2%,-0.2pp
"Daxos, Blessed by the Sun",W,U,119236,4.94,15721,7.03,56595,60.4%,53.4%,9486,53.2%,12411,50.9%,21897,51.9%,34387,54.3%,-2.3pp
"Elesh Norn, Grand Cenobite",W,M,3599,1.26,2910,1.24,16936,91.2%,58.6%,2752,64.5%,4334,69.4%,7086,67.5%,9827,52.2%,15.3pp
"Kenrith, the Returned King",W,M,4095,1.41,2805,1.43,15604,92.7%,54.4%,2595,54.5%,3860,58.8%,6455,57.1%,9187,52.4%,4.6pp
"Kwende, Pride of Femeref",W,U,137062,6.1,15860,8.97,33403,34.8%,54.4%,5268,52.4%,7157,51.0%,12425,51.6%,21007,56.1%,-4.5pp
"Sram, Senior Edificer",W,R,28210,4.43,4431,6.09,12541,46.9%,53.7%,2323,55.9%,2626,49.7%,4949,52.6%,7570,54.3%,-1.7pp
"Thalia, Guardian of Thraben",W,R,19082,2.97,3949,3.68,16981,71.8%,53.7%,3012,55.9%,3682,51.3%,6694,53.4%,10242,53.9%,-0.5pp
"Baral, Chief of Compliance",U,R,26417,4.03,5982,5.22,25997,71.5%,56.0%,4649,56.5%,6486,56.1%,11135,56.2%,14849,55.7%,0.5pp
"Emry, Lurker of the Loch",U,R,38454,6.18,4976,9.32,1605,5.3%,50.9%,267,,357,,624,50.3%,983,51.2%,-0.8pp
Inga Rune-Eyes,U,U,131059,5.25,28321,6.93,120358,69.5%,56.1%,20151,55.4%,31597,57.6%,51748,56.8%,68860,55.5%,1.2pp
"Jin-Gitaxias, Core Augur",U,M,12903,4.19,1599,6.17,1183,12.6%,44.5%,177,,283,,460,,726,46.1%,
"Tetsuko Umezawa, Fugitive",U,U,118103,4.72,31924,5.85,156344,79.8%,56.7%,27896,56.9%,38784,57.4%,66680,57.2%,89664,56.3%,0.9pp
"Ayara, First of Locthwain",B,R,26424,4.2,3981,5.9,9909,42.0%,52.1%,1595,49.5%,2584,53.7%,4179,52.1%,5767,52.1%,0.0pp
"Horobi, Death's Wail",B,R,22711,3.61,4091,4.66,13807,57.4%,52.3%,2297,51.6%,3497,54.0%,5794,53.1%,8032,51.6%,1.4pp
"Seizan, Perverter of Truth",B,R,33252,5.42,3660,8.66,1974,9.0%,46.3%,278,,486,,764,41.8%,1210,48.4%,-6.7pp
"Sheoldred, Whispering One",B,M,3992,1.39,2900,1.39,16353,92.1%,56.2%,2667,56.3%,4480,63.7%,7147,60.9%,9236,52.3%,8.6pp
"Skithiryx, the Blight Dragon",B,M,4761,1.6,2558,1.65,13189,87.4%,52.9%,2215,51.0%,3510,56.9%,5725,54.6%,7524,51.4%,3.2pp
"Tymaret, Chosen from Death",B,U,126689,5.0,22435,6.97,92897,69.0%,54.3%,15777,52.6%,23685,55.4%,39462,54.3%,53400,54.1%,0.2pp
"Yargle, Glutton of Urborg",B,U,158460,7.74,15707,11.83,3898,4.2%,45.8%,571,43.8%,926,46.8%,1497,45.6%,2400,45.8%,-0.1pp
Captain Lannery Storm,R,R,16592,2.6,4987,3.04,25304,83.7%,54.6%,4483,57.5%,6077,56.0%,10560,56.6%,14755,53.2%,3.4pp
"Ragavan, Nimble Pilferer",R,M,5039,1.74,2533,1.77,12937,83.4%,55.6%,2435,68.3%,2913,52.5%,5348,59.7%,7581,52.8%,6.9pp
"Squee, the Immortal",R,R,29281,4.52,3921,6.49,11297,48.9%,50.1%,1931,46.4%,2727,47.6%,4658,47.1%,6644,52.2%,-5.1pp
Urabrask the Hidden,R,M,6084,2.06,2142,2.27,9857,79.5%,51.8%,1606,53.1%,2345,52.7%,3951,52.8%,5920,51.0%,1.8pp
"Valduk, Keeper of the Flame",R,U,143657,6.53,18220,9.3,37612,34.7%,52.4%,6442,51.7%,8068,50.8%,14510,51.2%,23134,53.2%,-2.0pp
"Zada, Hedron Grinder",R,U,149879,6.97,19375,9.85,20313,17.5%,52.8%,3275,49.6%,4458,51.1%,7733,50.5%,12593,54.2%,-3.7pp
"Fynn, the Fangbearer",G,U,106593,4.13,19636,5.56,97686,82.6%,54.4%,17351,56.9%,22510,53.5%,39861,55.0%,57648,53.9%,1.1pp
"Goreclaw, Terror of Qal Sisma",G,R,16162,2.56,4063,3.01,19173,79.6%,53.5%,3156,53.5%,4730,54.8%,7886,54.3%,11292,52.9%,1.5pp
"Renata, Called to the Hunt",G,U,95561,3.88,14288,5.22,63625,76.8%,52.0%,10390,49.4%,14720,50.5%,25110,50.1%,38385,53.1%,-3.0pp
"Vorinclex, Voice of Hunger",G,M,8235,2.75,1440,3.4,4275,51.6%,49.0%,605,47.6%,1050,48.5%,1655,48.2%,2600,49.3%,-1.2pp
"Yedora, Grave Gardener",G,R,25391,3.95,3432,5.61,10212,49.9%,52.0%,1601,47.2%,2396,52.4%,3997,50.3%,6205,53.0%,-2.7pp
"Aegar, the Freezing Flame",UR,U,150113,6.83,21554,9.54,44440,34.1%,54.4%,7485,54.2%,11292,53.1%,18777,53.5%,25671,55.0%,-1.5pp
"Arixmethes, Slumbering Isle",UG,R,26471,4.14,4450,5.62,11271,43.1%,49.2%,1798,50.4%,2903,48.4%,4701,49.2%,6523,49.1%,0.1pp
"Atraxa, Praetors' Voice",WUBG,M,7424,2.51,2599,2.73,10822,68.9%,54.0%,1749,57.2%,2858,61.8%,4607,60.1%,6236,49.6%,10.5pp
"Atris, Oracle of Half-Truths",UB,R,18610,2.94,7948,3.2,40231,82.1%,57.0%,6700,58.9%,11075,61.2%,17775,60.4%,22500,54.3%,6.1pp
"Aurelia, the Warleader",WR,M,7712,2.7,2196,2.86,8246,63.3%,54.5%,1270,55.4%,1806,60.0%,3076,58.1%,5164,52.3%,5.8pp
"Brudiclad, Telchor Engineer",UR,R,17445,2.85,6609,3.17,29570,74.5%,54.5%,4674,54.9%,7821,58.1%,12495,56.9%,17087,52.6%,4.3pp
"Dina, Soul Steeper",BG,U,158404,7.57,17396,11.22,15308,14.8%,50.5%,2566,47.3%,3487,49.6%,6053,48.7%,9203,51.5%,-2.9pp
"Ezuri, Claw of Progress",UG,M,8720,2.93,2306,3.38,8939,65.9%,51.7%,1507,49.3%,2277,52.6%,3784,51.3%,5154,51.8%,-0.5pp
Firesong and Sunspeaker,WR,R,33549,5.51,3922,8.51,2087,8.9%,48.8%,298,,430,,728,45.2%,1353,50.5%,-5.3pp
"Firja, Judge of Valor",WB,U,130186,5.45,17223,7.89,45113,44.4%,51.2%,7012,49.4%,11478,53.7%,18490,52.1%,26751,50.5%,1.6pp
"Grimgrin, Corpse-Born",UB,M,6192,2.11,3400,2.15,17444,84.0%,56.5%,2838,56.4%,4918,62.2%,7756,60.1%,9755,53.5%,6.6pp
"Gyruda, Doom of Depths",UB,R,11353,1.88,6977,1.97,35981,85.6%,55.8%,5711,56.8%,9551,60.3%,15262,59.0%,20743,53.3%,5.7pp
"Imoti, Celebrant of Bounty",UG,U,124306,5.09,28851,6.42,106401,60.8%,54.6%,17075,55.8%,28141,58.4%,45216,57.4%,60676,52.3%,5.1pp
"Jegantha, the Wellspring",RG,R,22666,3.55,5414,4.3,8922,27.7%,51.4%,1453,49.1%,2270,52.8%,3723,51.4%,5248,51.1%,0.2pp
"Judith, the Scourge Diva",BR,R,21487,3.49,5500,4.13,22744,68.1%,55.2%,3886,58.7%,5881,59.3%,9767,59.1%,13033,52.2%,6.8pp
"Juri, Master of the Revue",BR,U,137569,6.02,22186,8.06,65639,49.8%,53.2%,11253,52.7%,16302,54.2%,27555,53.6%,38164,52.9%,0.7pp
"Kaheera, the Orphanguard",WG,R,30508,4.62,3871,6.93,7024,30.7%,50.4%,1200,50.7%,1573,48.1%,2773,49.2%,4246,51.3%,-2.0pp
"Keruga, the Macrosage",UG,R,14977,2.35,5906,2.71,30590,85.2%,55.7%,4893,53.6%,7840,58.1%,12733,56.4%,17779,55.1%,1.3pp
"Kroxa, Titan of Death's Hunger",BR,M,7575,2.61,2539,2.74,10563,68.8%,55.0%,1797,56.9%,2641,62.2%,4438,60.0%,6135,51.3%,8.7pp
"Lathiel, the Bounteous Dawn",WG,R,26161,4.15,3586,5.92,9059,42.8%,50.4%,1514,46.1%,2017,49.6%,3531,48.1%,5496,51.7%,-3.6pp
Lurrus of the Dream-Den,WB,R,10859,1.77,6470,1.87,33161,83.1%,56.2%,5590,56.3%,8349,60.4%,13939,58.7%,19304,54.3%,4.4pp
"Lutri, the Spellchaser",UR,R,17368,2.74,7253,3.01,13446,30.6%,54.2%,2197,50.0%,3319,54.2%,5516,52.5%,7968,55.3%,-2.8pp
Niv-Mizzet Reborn,WUBRG,M,13703,4.15,2523,5.44,5174,34.9%,49.5%,772,49.2%,1383,55.7%,2155,53.4%,3000,46.0%,7.3pp
"Obosh, the Preypiercer",BR,R,17450,2.71,4906,3.19,21879,74.8%,52.9%,3538,51.5%,5443,55.2%,8981,53.7%,12985,52.3%,1.4pp
"Radha, Coalition Warlord",RG,U,157925,7.67,16254,11.46,10596,10.9%,48.0%,1689,44.9%,2582,46.9%,4271,46.1%,6276,49.0%,-2.9pp
"Raff, Weatherlight Stalwart",WU,U,124343,5.2,27994,6.46,102039,59.5%,56.4%,17522,56.4%,23826,55.5%,41348,55.9%,60480,56.7%,-0.8pp
"Reyav, Master Smith",WR,U,146367,6.86,20548,9.26,40063,32.1%,55.3%,6893,59.6%,8326,57.0%,15219,58.2%,24831,53.5%,4.6pp
"Rona, Sheoldred's Faithful",UB,U,157834,7.44,20226,10.66,27311,22.3%,53.6%,4408,51.7%,7282,55.5%,11690,54.0%,15706,53.3%,0.7pp
"Shanna, Sisay's Legacy",WG,U,139720,6.25,16228,9.07,42312,43.5%,54.1%,7386,55.8%,8892,52.3%,16278,53.9%,25865,54.1%,-0.2pp
"Taigam, Ojutai Master",WU,R,26927,4.22,4663,5.67,11872,42.9%,51.7%,1909,49.2%,2927,49.1%,4836,49.1%,7041,53.2%,-4.1pp
Teysa Karlov,WB,R,25734,4.09,3891,5.73,9856,43.5%,49.4%,1567,46.8%,2405,50.3%,3972,48.9%,5872,49.7%,-0.8pp
"Umori, the Collector",BG,R,16292,2.51,5408,2.99,28184,86.8%,54.5%,4631,56.4%,7331,55.5%,11962,55.8%,16273,53.4%,2.4pp
"Yarok, the Desecrated",UBG,M,7844,2.63,2929,2.87,12526,72.9%,52.5%,2129,52.7%,3411,55.5%,5540,54.4%,7008,50.8%,3.6pp
"Yorion, Sky Nomad",WU,R,11127,1.84,7101,1.9,29246,67.2%,57.1%,4755,59.1%,7471,61.9%,12226,60.8%,17113,54.4%,6.5pp
"Zirda, the Dawnwaker",WR,R,24320,3.57,4535,4.77,18113,66.5%,54.1%,3090,53.4%,4185,52.9%,7275,53.1%,10828,54.7%,-1.6pp
Ancestral Katana,W,C,386355,7.35,37383,11.01,48712,22.0%,51.1%,8228,50.1%,11737,49.7%,19965,49.9%,28766,51.9%,-2.0pp
"Ao, the Dawn Sky",W,M,5151,1.17,4295,1.16,23577,89.0%,57.3%,4022,62.5%,6984,64.5%,11006,63.8%,12595,51.5%,12.3pp
Banishing Slash,W,U,74306,2.89,21314,3.46,109495,84.0%,56.5%,18094,57.0%,31271,61.4%,49365,59.8%,60165,53.7%,6.1pp
Befriending the Moths,W,C,339869,4.93,45651,7.2,167779,62.2%,53.1%,26808,50.0%,46086,55.5%,72894,53.5%,94895,52.9%,0.7pp
Blade-Blizzard Kitsune,W,U,103261,3.95,15912,5.49,66511,70.7%,54.0%,11459,54.5%,17638,55.9%,29097,55.3%,37437,53.0%,2.4pp
Born to Drive,W,U,123819,4.91,15730,7.32,46475,49.7%,53.7%,7815,52.9%,13137,57.4%,20952,55.7%,25499,52.1%,3.6pp
Brilliant Restoration,W,R,30363,3.36,7388,3.98,27711,62.6%,54.7%,4187,52.6%,8084,59.9%,12271,57.4%,15456,52.6%,4.8pp
Cloudsteel Kirin,W,R,14135,1.64,7628,1.67,39939,87.5%,54.8%,7014,54.1%,11314,60.3%,18328,57.9%,21626,52.1%,5.8pp
Dragonfly Suit,W,C,382655,7.1,37571,10.82,54407,24.2%,52.1%,8869,50.7%,14309,53.2%,23178,52.3%,31248,51.9%,0.3pp
Eiganjo Exemplar,W,C,332006,5.39,41360,7.95,155123,63.6%,52.9%,27755,53.6%,38210,52.4%,65965,52.9%,89199,52.9%,0.1pp
Era of Enlightenment,W,C,320691,4.52,61045,6.12,295749,80.2%,55.7%,53241,56.7%,81554,56.9%,134795,56.8%,160884,54.8%,2.0pp
The Fall of Lord Konda,W,U,125337,3.48,28051,4.45,133484,79.0%,55.5%,22120,55.3%,37851,59.7%,59971,58.1%,73490,53.5%,4.6pp
Farewell,W,R,14635,1.73,8561,1.68,44124,82.4%,59.4%,7406,64.0%,12922,68.1%,20328,66.6%,23797,53.3%,13.4pp
Go-Shintai of Shared Purpose,W,U,75749,2.93,19469,3.65,92745,80.4%,54.3%,15712,52.8%,29390,58.4%,45102,56.5%,47424,52.3%,4.2pp
Golden-Tail Disciple,W,C,340050,5.38,50027,7.82,216745,72.0%,55.5%,37769,55.5%,59209,57.0%,96978,56.4%,119764,54.8%,1.6pp
Hotshot Mechanic,W,U,135114,5.55,15862,8.36,41800,44.1%,54.3%,7341,57.2%,10584,53.1%,17925,54.8%,23885,53.8%,1.0pp
Imperial Oath,W,C,298080,5.23,84285,6.05,399375,77.3%,57.0%,63772,57.1%,116527,62.5%,180299,60.6%,219143,54.0%,6.6pp
Imperial Recovery Unit,W,U,112494,4.43,15669,6.36,52503,56.5%,53.5%,8757,52.0%,13904,53.9%,22661,53.2%,29863,53.8%,-0.6pp
Imperial Subduer,W,C,364075,6.46,35772,9.82,82944,39.1%,51.8%,14321,50.4%,20242,51.9%,34563,51.3%,48408,52.1%,-0.8pp
Intercessor's Arrest,W,C,224113,3.38,48856,4.5,257605,88.0%,54.9%,43389,52.7%,78284,57.9%,121673,56.0%,135435,53.9%,2.1pp
Invoke Justice,W,R,24519,2.78,7174,3.11,28451,67.1%,54.4%,4430,53.2%,7926,58.7%,12356,56.7%,16104,52.6%,4.1pp
Kitsune Ace,W,C,385956,7.38,38426,11.09,52431,22.9%,51.8%,9218,51.3%,13195,52.7%,22413,52.1%,30036,51.6%,0.5pp
"Kyodai, Soul of Kamigawa",W,R,12271,1.45,8565,1.43,46851,89.7%,56.4%,8082,58.7%,13368,62.7%,21450,61.2%,25406,52.3%,8.8pp
Light the Way,W,C,405212,8.2,39738,12.2,21312,8.9%,52.8%,3254,50.8%,5515,54.2%,8769,53.0%,12553,52.6%,0.3pp
"Light-Paws, Emperor's Voice",W,R,34781,3.92,4485,5.71,5410,20.3%,51.7%,936,51.9%,1312,50.0%,2248,50.8%,3162,52.4%,-1.6pp
Lion Sash,W,R,13140,1.57,7985,1.55,41366,85.7%,55.8%,7461,55.7%,11503,60.8%,18964,58.8%,22438,53.2%,5.6pp
Lucky Offering,W,C,405443,8.41,38559,12.5,10112,4.4%,52.2%,1669,51.9%,2693,56.1%,4362,54.5%,5754,50.4%,4.2pp
